UBICACI‡N EQUIPOS ITS ;;;;;;;;;;;;SISTEMA;CANTIDAD;
18/09/2025;;;;;;SEPARACI‡N;;;OBSERVACI‡N;;;;NO OBJETADOS;EPC
CANTIDAD;RUTA;UF;VIA ;SISTEMA;UBICACI‡N;SOS;PMV IZQ;PMV DERE;;;;RADAR-ANPR;38;12
;;;;;;;;;;;;PMV;29;28
112;4511;4;IZQUERDA;PMV;74+200;;20+000;;73+969;PEATONAL;;;;
113;4511;6;IZQUERDA;POSTE SOS ;76+200;3+310;;;;;;;;
114;4511;11;DERECHA;PMV;77+350;;;16+870;;;;;;
115;4511;11;DERECHA;POSTE SOS ;79+290;3+090;;;;;;;;
116;4511;6;IZQUERDA;CCTV;81+650;;;;;;;;;
117;4511;6;SEPARADOR;METEO;81+800;;;;81+800;PEAJE AGUAS NEGRAS;;;;
118;4511;6;IZQUERDA;CCTV;81+900;;;;;;;;;
119;4511;6;IZQUERDA;GALIBO;82+800;;;;;;;;;
120;4511;11;DERECHA;POSTE SOS ;84+805;5+515;;;;;;;;
121;4511;7;IZQUERDA;PMV;86+800;;12+600;;;;;;;
122;4511;7;IZQUERDA;POSTE SOS ;87+103;2+298;;;;;;;;
123;4511;11;DERECHA;POSTE SOS ;89+840;2+737;;;;;;;;
124;4511;7;IZQUERDA;POSTE SOS ;92+643;2+803;;;;;;;;
125;4511;11;DERECHA;POSTE SOS ;95+400;2+757;;;;;;;;
126;4511;7;IZQUERDA;RADAR-ANPR;95+800;;;;;;;;;
127;4511;11;DERECHA;PMV;97+200;;;19+850;97+361;PEATONAL;;;;
128;4511;8;IZQUERDA;POSTE SOS ;97+950;2+550;;;;;;;;
129;4511;11;DERECHA;POSTE SOS ;100+600;2+650;;;;;;;;
130;4511;11;DERECHA;RADAR-ANPR;102+200;;;;;;;;;
131;4511;11;IZQUERDA;POSTE SOS ;103+300;2+700;;;103+000;PEATONAL;;;;
132;4511;11;DERECHA;POSTE SOS ;106+145;2+845;;;;;;;;
133;4511;8;IZQUERDA;PMV;106+580;;19+780;;;;;;;
134;4511;9;IZQUERDA;POSTE SOS ;109+100;2+955;;;108+411;PEATONAL;;;;
135;4511;11;DERECHA;POSTE SOS ;111+930;2+830;;;;;;;;
136;4511;9;SEPARADOR;CCTV;113+300;;;;113+450;A. S. AGUAS NEGRAS;;;;
137;4511;9;SEPARADOR;CCTV;115+800;;;;113+410;PEATONAL;;;;
138;4511;9;DERECHA;POSTE SOS ;116+200;4+270;;;;;;;;
139;4511;9;SEPARADOR;CCTV;116+900;;;;;;;;;
140;4511;11;DERECHA;PMV;117+200;;;20+000;;;;;;
141;4511;10;IZQUERDA;POSTE SOS ;119+240;3+040;;;;;;;;
142;4511;11;DERECHA;POSTE SOS ;122+185;2+945;;;;;;;;
143;4511;10;IZQUERDA;POSTE SOS ;125+305;3+120;;;;;;;;
144;4511;10;IZQUERDA;PMV;126+580;;20+000;;;;;;;
145;4511;11;DERECHA;GALIBO;127+250;;;;;;;;;
146;4511;11;DERECHA;POSTE SOS ;127+490;2+185;;;127+850;INTER YUMA;;;;
147;4511;11;SEPARADOR;CCTV;128+000;;;;;;;;;
148;4511;12;IZQUERDA;POSTE SOS ;129+910;2+420;;;;;;;;
149;4511;11;DERECHA;POSTE SOS ;132+832;2+922;;;;;;;;
150;4511;12;IZQUERDA;POSTE SOS ;135+482;2+650;;;;;;;;
151;4511;11;DERECHA;PMV;136+750;;;19+550;135+633;PEATONAL;;;;
152;4511;11;DERECHA;POSTE SOS ;138+302;2+820;;;;;;;;
153;4511;12;IZQUERDA;POSTE SOS ;141+095;2+793;;;;;;;;
154;4511;12;DERECHA;RADAR-ANPR;143+900;;;;;;;;;
155;4511;11;IZQUERDA;RADAR-ANPR;143+900;;;;;;;;;
156;4511;11;DERECHA;POSTE SOS ;144+390;3+295;;;;;;;;
157;4511;12;IZQUERDA;PMV;146+580;;20+000;;148+995;FIN RUTA 4511;;;;
158;4511;12;IZQUERDA;POSTE SOS ;147+385;2+995;;;147+024;PEATONAL;;;;
159;4513;11;SEPARADOR;CCTV;+320;;;;+500;INTER LIZAMA;;;;
160;4513;11;DERECHA;POSTE SOS ;1+240;2+850;;;+529;PEATONAL;;;;
161;4513;13;IZQUERDA;POSTE SOS ;3+656;2+416;;;;;;;;
162;4513;13;SEPARADOR;CCTV;3+875;;;;3+900;BASCULA IZQUIERDA;;;;
163;4513;11;SEPARADOR;CCTV;4+150;;;;;;;;;
164;4513;13;IZQUERDA;METEO;4+235;;;;4+360;BASCULA DERECHA;;;;
165;4513;11;SEPARADOR;CCTV;4+400;;;;4+400;CCO IZQUIERDA;;;;
166;4513;11;DERECHA;PMV;5+900;;;18+145;;;;;;
167;4513;13;IZQUERDA;GALIBO;5+900;;;;;;;;;
168;4513;11;DERECHA;POSTE SOS ;6+050;2+394;;;;;;;;
169;4513;13;SUR;POSTE SOS ;9+000;2+950;;;;;;;;
170;4513;11;SUR;CCTV;9+800;;;;;;;;;
